CUR,0.760,0.512,0.022,0,5,23.84,0,2,0
CUR,1.114,0.552,0.193,0,29,23.84,1078,2,0
CUR,1.114,0.532,0.202,0,29,23.81,1337,2,0
CUR,1.109,0.531,0.202,0,29,23.84,1347,2,0
CUR,1.114,0.535,0.202,0,29,23.82,1348,2,0
CUR,1.114,0.536,0.202,0,29,23.84,1348,2,0
CUR,1.109,0.530,0.202,0,29,23.84,1349,2,0
CUR,1.104,0.532,0.025,0,0,23.84,270,3,3
CUR,0.013,0.007,0.003,0,0,23.85,165,3,3
CUR,0.018,0.007,0.003,0,0,23.85,15,3,3
